FIPS,State,County,Population,% Diabetic,# Primary Care Physicians,% Uninsured,Food Environment Index,% Obese,% Food Insecure,% Limited Access,Household Income,Graduation Rate,% Unemployed,Preventable Hosp. Rate
51001,Virginia,Accomack,32545,15.2,16,17.86055396,8,34.4,14.1,2.092269243,44038,89.7,4.821921244,4745
51003,Virginia,Albemarle,107702,7,164,10.60049169,8.8,21.6,8.9,3.655561459,77591,94.7,3.305948196,2837
51005,Virginia,Alleghany,15122,12.6,8,9.834789378,8.2,31.3,11.4,4.727222029,49655,91.1,4.866997954,8763
51007,Virginia,Amelia,13020,13.5,2,12.86707883,8.3,33.2,10.7,5.756433393,54979,94.2,4.002561639,4809
51009,Virginia,Amherst,31594,12.7,8,11.37261356,8.1,31.8,11.6,6.150547092,48980,95.7,4.176334107,4318
51011,Virginia,Appomattox,15681,12.8,2,11.79375101,8.4,32.6,12.5,0.703730708,50148,95.1,4.457419539,4471
51013,Virginia,Arlington,234965,4.7,178,7.233227457,9.4,19.6,7.5,0.083965207,114705,90.8,2.488187292,3001
51015,Virginia,Augusta,75144,12.3,35,10.69015486,9,33.7,7.6,4.118477517,58368,91.2,3.436388806,4280
51017,Virginia,Bath,4297,11.2,3,10.70121951,8.4,26.1,8.5,9.215489355,48753,91.1,3.303425775,5590
51019,Virginia,Bedford,77974,13.6,55,9.065636566,9.1,31.9,8.1,1.681253412,65172,90.4,3.917568911,3436
51021,Virginia,Bland,6350,11.7,,9.598918432,8.4,31.7,8.7,8.504770498,45564,98.2,4.430611498,3821
51023,Virginia,Botetourt,33192,11.2,18,8.197858078,8.7,26.3,6.8,8.426956489,70388,93.5,3.578643579,3375
51025,Virginia,Brunswick,16244,12.9,5,13.1538531,6.8,37.1,19.6,3.950682891,42569,86.4,5.494505495,6961
51027,Virginia,Buchanan,21514,12,6,12.74051593,,33.1,15.8,,32993,90.3,7.608533493,10521
51029,Virginia,Buckingham,17065,13.9,4,13.43032546,7.6,34.7,15,4.456827647,41763,94.4,5.401186388,5416
51031,Virginia,Campbell,55010,11.1,12,10.84214579,8.4,34,10.8,3.95798702,50849,92.8,4.20222741,4694
51033,Virginia,Caroline,30461,12,5,10.87596243,8.4,32.2,12.1,1.245670186,62207,87.3,4.311543811,4921
51035,Virginia,Carroll,29708,14.3,29,13.26602592,8.8,29.8,10,1.756058866,42262,90.5,4.654920366,4305
51036,Virginia,Charles City,7004,16,1,16.30956779,8,35,14.8,0.54767253,54504,92.6,4.798515377,4475
51037,Virginia,Charlotte,12119,12.5,6,14.66297519,6.2,35.5,17.3,15.03023096,40864,87,4.742857143,4435
51041,Virginia,Chesterfield,343599,10.4,304,8.146584257,8.5,29.5,8.7,7.222556205,80573,90.1,3.631023605,4032
51043,Virginia,Clarke,14508,11.4,7,10.28257457,9.2,26.9,8.1,0.286765786,76359,97.9,3.431307355,6681
